name;type;state;city;period_from;period_to;grant;id;applicant;use_case;additional_topics;description;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8
Niedersächsische Plattform zur Berichterstattung und Datenübermittlung einschließlich Datenbasis in einem BI-System;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;1.900.000,00;NI-P512LM10022;Niedersächsisches Landesgesundheitsamt (NLGA);Impfungen, Berichterstattung & Monitoring;;Das zu entwickelnde System fokussiert sich auf solche Anwendungsfälle, bei denen außerhalb der Gesundheitsämter in Gesundheits-, Pflege- und Kindergemeinschaftseinrichtungen Daten erhoben und an die Gesundheitsämter weitergeleitet werden. Ebenfalls soll der Datenaustausch  im Anschluss oder parallel ggf. mit den Landesbehörden, insbesondere das NLGA, möglich sein. Initial vorgesehene Anwendungsfälle sind: Surveillance akuter respiratorischer Infektionen in Kindergemeinschaftseinrichtungen, Häufigkeit nosokomialer Infektionen in Krankenhäusern, Impfstatus von Schulanfängern, Daten zum Zahnstatus und gruppenprophylaktischen Maßnahmen in Kindergemeinschaftseinrichtungen und Schulen. Darüber hinaus sollen weitere Eingabemasken für hier noch nicht benannte Anwendungsfälle flexibel durch den Nutzerkreis aus dem ÖGD erstellt und im weiteren Verlauf modifiziert werden können.;false;false;false;false;false;false;true;true
IT-Infrastruktur für externe Krisenkommunikation – Bots;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;2.300.000,00;NI-P512LM10025;Niedersächsisches Landesgesundheitsamt (NLGA);;;Durch die geplante Maßnahme dieses Projektes werden die Anfragen von Bürger:innen primär von Voice- oder Chatbots angenommen, die mittels KI das Anliegen identifizieren und eine angemessene Antwort erteilen. Die Bots werden für alle Einrichtungen des ÖGD gemeinsam trainiert, sodass ausreichend schnell eine kritische Masse von Anfragen für das Training berücksichtigt werden kann. Mithilfe des großen Trainingssets kann vergleichsweise schnell ein zuverlässiges und umfassendes System zur Verfügung gestellt werden. Durch eine enge Einbindung der fachlichen Ansprechpartner:innen fließen in die Konfiguration sowohl gesetzliche Grundlagen und fachliche Empfehlungen, als auch die Rückmeldungen der Anfragenden ein.;false;false;false;false;false;true;true;false
Bürgernah und erfolgreich in die digitale Zukunft;Modellprojekt (MP);Sachsen-Anhalt;Merseburg;01.10.2022;30.09.2024;325.596,46;ST-P512MP10063;Gesundheitsamt Saalekreis;;enaio/mikado/mikropro, Octoware;;false;false;false;true;true;true;false;false
Stärkung des öffentlichen Gesundheitsdienstes in Mecklenburg-Vorpommern;Ländermaßnahme (LM);Mecklenburg-Vorpommern;Schwerin;01.10.2022;30.09.2024;6.397.560,55;MV-P512LM10010;Ministerium für Soziales, Gesundheit und Sport Mecklenburg-Vorpommern;Belehrung, Trink- und Badewasserprüfung;ISGA, Octoware;Das Projekt verfolgt das Ziel für jeden beteiligten Akteur des öffentlichen Gesundheitsdienstes in Mecklenburg-Vorpommern sowohl mit der Entwicklung übergreifender Digitalisierungsstrategien als auch mit konkreten technischen und prozessualen Modernisierungsmaßnahmen eine messbare Steigerung der digitalen Reife insbesondere im Hinblick auf den Infektionsschutz zu bewirken. Dabei spielt der Ausbau der Interoperabilität der im ÖGD genutzten technischen Systeme innerhalb des Bundeslandes eine entscheidende Rolle. Zur Erreichung dieses Fortschritts wird die Umsetzung mehrerer Module verfolgt. Ziele sind insbesondere die Erstellung von Digitalisierungsstrategien, eines Schulungskonzeptes für ÖGD-Mitarbeitende, deren Fortbildung bspw. im Umgang mit Fachanwendungen sowie Ineffizienzen bei bestehenden Prozessabläufe aufzuzeigen, um diese effizienter zu gestalten. Hierzu zählt auch die Implementierung ausgewählter OZG-Leistungen in die ÖGD-Fachanwendungen.;true;true;true;false;false;false;false;false
Einführung und Weiterentwicklung von CovBot, climedo, SORMAS, Awenko, IT-Sicherheit und einer Schnittstelle zwischen d3 und Octoware zur weiteren Digitalisierung des Fachdienstes Gesundheit (FDG) der Landeshauptstadt Schwerin;Modellprojekt (MP);Mecklenburg-Vorpommern;Schwerin;01.10.2022;30.09.2024;179.810,39;MV-P512MP10184;Landeshauptstadt Schwerin;;Sormas, Climedo, DEMIS, Survnet, Octoware;;false;false;false;false;false;true;false;true
Digitalisierung im Niedersächsischen Landesgesundheitsamt;Modellprojekt (MP);Niedersachsen;Hannover;01.10.2022;30.09.2024;999.907,00;NI-P512MP10197;Niedersächsisches Landesgesundheitsamt (NLGA);;;;true;false;false;false;true;false;false;false
Elektronische Akte und bessere Bürger:innenzentrierung für den Fachdienst Gesundheit des Landkreises Ludwigslust-Parchim;Modellprojekt (MP);Mecklenburg-Vorpommern;Ludwigslust;01.10.2022;30.09.2024;202.353,00;MV-P512MP10166;Landkreis Ludwigslust-Parchim – Fachdienst Gesundheit;;Octoware;;false;false;false;false;false;true;false;true
Etablierung Fachinformationssystem Gentechnik M-V;Modellprojekt (MP);Mecklenburg-Vorpommern;Rostock;01.10.2022;30.09.2024;80.000,00;MV-P512MP10076;Landesamt für Gesundheit und Soziales, Abteilung Gesundheit, Rostock;;;;true;true;false;false;false;false;false;false
Weitere Digitalisierung des Gesundheitsamtes Kyffhäuserkreis;Modellprojekt (MP);Thüringen;Sondershausen;01.10.2022;30.09.2024;315.835,13;TH-P512MP10241;Landratsamt Kyffhäuserkreis - Gesundheitsamt;;Sormas, Survnet, PICTURE, RPA, Octoware;;true;false;true;false;false;true;false;true
Mobiles Arbeiten im Gesundheitsamt ermöglichen, mit Medientechnik ausstatten und Weiterbildung der Mitarbeitenden.;Modellprojekt (MP);Rheinland-Pfalz;Trier;01.10.2022;30.09.2024;874.941,00;RP-P512MP10135;Kreisverwaltung Trier-Saarburg – Gesundheitsamt;Gesundheitsberatung;;;false;true;false;false;false;true;false;false
Schaffung einer einheitlichen Software-Infrastruktur für den Fachdienst Gesundheit;Modellprojekt (MP);Thüringen;Altenburg;01.10.2022;30.09.2024;110.000,00;TH-P512MP10200;Landratsamt Altenburger Land – Fachdienst Gesundheit (Gesundheitsamt);;Octoware;;false;true;false;false;false;false;false;true
Weiterentwicklungsmaßnahmen d. Prozess- u. Digitalisierungsmanagements des GA Bernkastel-Wittlich, mit Ziel der Evaluation, z. B. nach ISO 9001;Modellprojekt (MP);Rheinland-Pfalz;Wittlich;01.10.2022;30.09.2024;492.500,00;RP-P512MP10021;Kreisverwaltung Bernkastel-Wittlich;;enaio/mikado/mikropro;;true;true;true;false;false;false;false;true
Digitales Gesundheitsamt-Steigerung und Weiterentwicklung des digitalen Reifegrades im Gesundheitsamt des Rhein-Lahn-Kreises;Modellprojekt (MP);Rheinland-Pfalz;Bad Ems;01.04.2022;31.03.2024;180.000,00;RP-P512MP10032;Kreisverwaltung des Rhein-Lahn_Kreises;;;;false;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes;Modellprojekt (MP);Bayern;Straubing;01.10.2022;30.09.2024;335.503,89;BY-P512MP10139;Landratsamt Straubing-Bogen (im Einvernehmen mit und für das Gesundheitsamt Straubing-Bogen);;Äskulab;;true;false;true;false;false;false;false;false
Digitalisierung Gesundheitsamt Uckermark;Modellprojekt (MP);Brandenburg;Prenzlau;30.08.2022;29.08.2024;650.000,00;BB-P512MP10065;Landkreis Uckermark - Gesundheitsamt;;Octoware;;false;true;false;false;false;true;false;false
Digitales Gesundheitsamt;Modellprojekt (MP);Niedersachsen;Cloppenburg;01.10.2022;30.09.2024;158.007,74;NI-P512MP10108;Landkreis Cloppenburg;;ISGA, PICTURE;;false;false;true;false;false;false;false;true
Digitale Transformation: Medienbruchfreie Prozesse im Osnabrücker Gesundheitsdienst;Modellprojekt (MP);Niedersachsen;Osnabrück;01.10.2022;30.09.2024;1.542.000,00;NI-P512MP10058;Gesundheitsdienst für Landkreis und Stadt Osnabrück;;;;true;false;true;false;false;false;false;false
Digitalisierung der Regierung von Unterfranken;Modellprojekt (MP);Bayern;Würzburg;01.10.2022;30.09.2024;284.000,00;BY-P512MP10131;Regierung von Unterfranken;;;;true;true;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Neustadt Weiden;Modellprojekt (MP);Bayern;Weiden i.d. Oberpfalz;01.10.2022;30.09.2024;419.375,00;BY-P512MP10142;Gesundheitsamt Neustadt/Weiden;Gesundheitsberatung;Survnet;;true;true;false;false;false;true;false;false
Ortsunabhängiges mobiles Arbeiten mit der elektronischen Akte;Modellprojekt (MP);Niedersachsen;Meppen;01.10.2022;30.09.2024;1.216.652,40;NI-P512MP10050;Landkreis Emsland;;Sormas, ISGA;;false;false;true;true;false;false;false;false
Digitalisierungsstrategie für die ÖGD-Einrichtungen des Bundeslandes Bremen;Ländermaßnahme (LM);Bremen;Bremen;01.10.2022;30.09.2024;2.664.950,27;HB-P512LM10013;Die Senatorin für Gesundheit, Frauen und Verbraucherschutz Bremen;;;Die „Länderkoordinierte Maßnahme“ Bremens zielt darauf ab, die digitale Reife der Einrichtungen des öffentlichen Gesundheitsdienstes des Landes Bremen zu steigern und weiterzuentwickeln. Mit insgesamt sechs Maßnahmen soll die digitale Reife des Landes Bremen ganzheitlich gesteigert werden. Die einzelnen Maßnahmen berücksichtigen die vorhandenen Strukturen der ÖGD-Einrichtungen im Land Bremen und knüpfen an diese an geeigneter Stelle an. Die ersten drei Teilmaßnahmen beinhalten unter anderem die Entwicklung einer Digitalisierungsstrategie, die Erstellung einer IT-gestützten Prozessdokumentation (inkl. Ableitung des Digitalisierungspotenziales) sowie den Aufbau einer gemeinsamen Datenstruktur. Weitere Teilmaßnahmen betreffen die Einrichtung eines Single-Points-of-Contact für die BürgerInnen für ÖGD-Leistungen, die Ausstattung mit notwendiger Hard- und Software sowie IT-Sicherheitsmaßnahmen als auch die Erstellung eines Schulungskonzeptes für AnwenderInnen. Darüber hinaus werden Schnittstellen für den Datenaustausch eingerichtet sowie ein gemeinsamer Datenbestand aufgebaut, um die Interoperabilität zu verbessern.;true;true;true;true;true;true;true;true
Digitales Gesundheitsamt in Lippe - Das Gesundheitsamt der Zukunft -;Modellprojekt (MP);Nordrhein-Westfalen;Lemgo;01.10.2022;30.09.2024;1.596.871,60;NW-P512MP10023;Kreis Lippe Der Landrat, Fachbereich 530 Gesundheit;Impfungen, Schuleingangsuntersuchung;ISGA, PICTURE;;true;false;true;false;false;false;false;false
Digitales Gesundheitsamt Stadt Oldenburg;Modellprojekt (MP);Niedersachsen;Oldenburg;01.10.2022;30.09.2024;453.272,00;NI-P512MP10025;Gesundheitsamt Stadt Oldenburg;Impfungen;DEMIS;;false;true;true;false;true;false;false;false
Digitale Weiterentwicklung des Gesundheitsamtes;Modellprojekt (MP);Brandenburg;Senftenberg;01.10.2022;30.09.2024;274.700,00;BB-P512MP10196;Landkreis Oberspreewald-Lausitz;;;;true;true;false;false;false;false;false;false
Digitalisierung des Gesundheitsamtes des Landkreises Barnim;Modellprojekt (MP);Brandenburg;Eberswalde;01.10.2022;30.09.2024;400.000,00;BB-P512MP10251;Landkreis Barnim - Gesundheitsamt;;;;false;false;false;true;true;false;false;false
Digitalisierung des Gesundheitsamtes Ilm-Kreis;Modellprojekt (MP);Thüringen;Arnstadt;01.08.2022;31.07.2024;486.657,05;TH-P512MP10003;Landratsamt Ilm-Kreis;;Sormas, PICTURE, RPA, Octoware;;false;false;true;false;false;true;false;false
Weiterer Ausbau der Digitalisierung im Gesundheitsamt;Modellprojekt (MP);Thüringen;Gera;01.10.2022;30.09.2024;22.741,48;TH-P512MP10219;Amt für Gesundheit und Versorgung;;DEMIS, enaio/mikado/mikropro;;false;false;false;false;false;true;false;true
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes des Kreises Dithmarschen;Modellprojekt (MP);Schleswig-Holstein;Heide;01.10.2022;30.09.2024;774.838,00;SH-P512MP10205;Kreis Dithmarschen – Gesundheitsamt;;enaio/mikado/mikropro;;true;true;true;true;true;false;false;false
Digitalisierungsstrategie und -konzept der Landeshauptstadt Magdeburg 20|25²;Modellprojekt (MP);Sachsen-Anhalt;Magdeburg;01.10.2022;30.09.2024;845.000,00;ST-P512MP10140;Landeshauptstadt Magdeburg;;DEMIS, Survnet, RPA, enaio/mikado/mikropro;;true;false;false;false;false;false;false;true
Förderung der digitalen Reife des Amtes für Gesundheit der Landeshauptstadt Kiel;Modellprojekt (MP);Schleswig-Holstein;Kiel;01.10.2022;30.09.2024;1.020.000,00;SH-P512MP10167;Landeshauptstadt Kiel - Amt für Gesundheit;Berichterstattung & Monitoring;PICTURE;;true;true;true;false;false;false;false;false
Verwaltungsmodernisierung durch Digitalisierung im Gesundheitsamt Landkreises Wittenberg;Modellprojekt (MP);Sachsen-Anhalt;Lutherstadt Wittenberg;01.10.2022;30.09.2024;885.410,00;ST-P512MP10161;Landkreis Wittenberg;;Sormas, Climedo, RPA, Octoware;;true;false;true;false;false;true;false;false
Digitales, modulares und nachnutzbares Mustergesundheitsamt der Stadt Halle/Saale (Infektionsschutz digital und nachhaltig);Modellprojekt (MP);Sachsen-Anhalt;Halle (Saale);01.10.2022;30.09.2024;1.336.000,00;ST-P512MP10055;Stadt Halle (Saale);;;;true;true;false;false;false;false;false;false
Digitalisierung Gesundheitsamt Weimar;Modellprojekt (MP);Thüringen;Weimar;01.10.2022;30.09.2024;50.000,00;TH-P512MP10249;Gesundheitsamt Stadtverwaltung Weimar;;ISGA;;false;false;false;false;false;true;false;true
Optimierung der IT, Prozessdigitalisierung und Interoperabilität der Fachverfahren;Modellprojekt (MP);Rheinland-Pfalz;Ludwigshafen am  Rhein;01.10.2022;30.09.2024;513.685,00;RP-P512MP10009;Kreisverwaltung Rhein-Pfalz-Kreis;;;;true;true;true;false;false;false;false;false
"Einführung eines ganzheitlichen Prozessmanagements für die digitale Transformation des Gesundheitsamtes des Landkreises Holzminden; Aufstellung eines Prozesskataloges incl. Bewertung des Digitalisierungspotenzials sowie Optimierung und Digitalisierung von drei hoch priorisierten Prozessen. Erstellung einer IT-Sicherheitskonzeptes für das Gesundheitsamt.";Modellprojekt (MP);Niedersachsen;Holzminden;01.10.2022;30.09.2024;286.480,00;NI-P512MP10221;Landkreis Holzminden;;PICTURE, Octoware;;false;false;true;false;false;true;false;false
E-Health26 – Gesundheit Kompetent Digital;Modellprojekt (MP);Niedersachsen;Hildesheim;01.10.2022;30.09.2024;878.500,00;NI-P512MP10188;Landkreis Hildesheim;;;;true;false;true;false;false;false;false;false
Digitales Gesundheitsamt OPR;Modellprojekt (MP);Brandenburg;Neuruppin;01.10.2022;30.09.2024;370.000,00;BB-P512MP10228;Landkreis Ostprignitz-Ruppin - Der Landrat;;Survnet;;false;true;true;false;true;false;false;false
Schaffung ausgewählter Basisanforderungen für das Gesundheitsamt 2025 im Kreis Plön;Modellprojekt (MP);Schleswig-Holstein;Plön;01.10.2022;30.09.2024;384.070,14;SH-P512MP10213;Kreisverwaltung Plön – Amt für Gesundheit;;PICTURE;;true;false;true;false;false;false;false;false
Digitalisierung im Gesundheitsamt Schaumburg;Modellprojekt (MP);Niedersachsen;Stadthagen;01.10.2022;30.09.2024;574.900,00;NI-P512MP10220;Landkreis Schaumburg;Belehrung;PICTURE, RPA, enaio/mikado/mikropro;;true;false;false;false;false;false;false;true
Implementierung und Betrieb der OZG-Leistung „Todesbescheinigung“;Ein Land für Alle (ELFA);Niedersachsen;Hameln;15.11.2022;30.09.2024;672.043,51;NI-P512LM10E21;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;;;Ziel dieses Projektes ist die Leistung Todesbescheinigung bundesweit im Rahmen des OZG in eine Online-Lösung (OZG-Kennung:10602) zu überführen. Die OZG-Leistung wurde bereits entwickelt und soll nun als Rollout in den beteiligten Bundesländern fortgeführt werden. Der Initialbetrieb ist für die Jahre 2023 und 2024 angedacht, die Leistung soll stetig weiterentwickelt werden.;false;false;true;false;false;false;true;true
Implementierung und Betrieb der OZG-Leistung „Leichenpass“;Ein Land für Alle (ELFA);Niedersachsen;Hannover;15.11.2022;30.09.2024;486.722,27;NI-P512LM10E20;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;;;Durch die Etablierung eines Online-Portals zur Beantragung eines Leichenpasses soll der Bearbeitungsprozess für alle Beteiligten erleichtert werden. Mit der Maßnahme soll der Arbeitsprozess verschlankt und Mitarbeitende des ÖGD entlastet werden. Die Implementierung der entwickelten OZG-Leistung wurde im Jahr 2022 als Software-as-a-Service-Lösung (SaaS, OZG-Kennung: 10604) begonnen. Das Projekt schließt sowohl die technische Weiterentwicklung, als auch weitere Rolloutmaßnahmen für die Jahre 2023 und 2024 mit ein.;false;false;true;false;false;true;true;true
Implementierung und Betrieb der OZG-Leistung „Anzeigepflichten nach §13 Trinkwasserverordnung (TrinkwV)“;Ein Land für Alle (ELFA);Niedersachsen;Hannover;15.11.2022;30.09.2024;564.752,27;NI-P512LM10E19;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;Trink- und Badewasserprüfung;;Die ELFA-Maßnahme zielt auf die Digitalisierung des Prozesses der Meldung von Wasserversorgungsanlagen ab. Durch ein Online-Portal für Anzeigepflichten nach der Trinkwasserverordnung soll die Überwachung der Wasserversorgungsanlagen für die Gesundheitsämter effizienter gestaltet, die Datenqualität verbessert und damit die Reaktionsgeschwindigkeit zur Korrektur von fehlerhaften Angaben erhöht werden. So sollen die Mitarbeitenden in den Gesundheitsämtern beim Datenmanagement entlastet werden, um den amtlichen Kontrollpflichten besser nachkommen zu können. Die Implementierung der entwickelten OZG-Leistung wurde im Jahr 2022 als Software-as-a-Service-Lösung (SaaS) begonnen. Das Projekt schließt sowohl die technische Weiterentwicklung, als auch weitere Rolloutmaßnahmen für die Jahre 2023 und 2024 ein.;false;false;true;false;false;true;true;true
Implementierung und Betrieb der OZG-Leistung „Leistungen zum Infektionsschutz“;Ein Land für Alle (ELFA);Niedersachsen;Hannover;15.11.2022;30.09.2024;564.752,25;NI-P512LM10E18;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;Belehrung;;Die Durchführung der Infektionsschutzbelehrung nach § 43 Abs. 1 IfSG ist seit der Änderung des Infektionsschutzgesetzes im Jahr 2020 online möglich. Die Umsetzung als OZG-Leistung wurde im Jahr 2022 in Form einer Software-as-a-Service-Lösung (SaaS) begonnen. Das Projekt schließt nun sowohl die technische Weiterentwicklung, als auch weitere Rolloutmaßnahmen für die Jahre 2023 und 2024 mit ein. Kern der digitalen Lösung ist dabei, dass die Funktionen der Online-Infektionsschutzbelehrung erweitert werden, um die entsprechende Abwicklung der Bezahlung für die Ausstellung von Bescheinigungen sicherzustellen. Im Ergebnis soll zukünftig für die Durchführung der Infektionsschutzbelehrung kein Personaleinsatz mehr erforderlich sein, was die Mitarbeitenden in den ÖGD-Einrichtungen entlasten wird.;false;false;true;false;false;true;false;true
Digitalisierung im Geschäftsbereich Gesundheit der Stadt Wolfsburg;Modellprojekt (MP);Niedersachsen;Wolfsburg;01.10.2022;30.09.2024;395.964,00;NI-P512MP10056;Stadt Wolfsburg – Geschäftsbereich Gesundheit;;;;true;true;false;false;false;false;false;false
Digitale Gesundheitsdienste Nienburg/Weser;Modellprojekt (MP);Niedersachsen;Nienburg;01.10.2022;30.09.2024;482.850,00;NI-P512MP10042;Landkreis Nienburg/Weser – Fachbereich Gesundheitsdienste;;enaio/mikado/mikropro;;true;false;false;true;false;false;false;false
Betriebskosten für das Fachverfahren „IfSG-Online“ in niedersächsischen Gesundheitsämtern;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;788.105,73;NI-P512LM10026;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;;;Die Gesundheitsämter in Niedersachsen bearbeiten Anträge auf Entschädigung bei Verdienstausfall nach §§ 56 ff Infektionsschutzgesetz (IfSG). IfSG-Online wurde Ende 2020 nahezu flächendeckend in Niedersachsen erstmals einführt. Die Fachanwendung IfSG-Online soll im Ergebnis des Projektes fachlich-technisch weiterentwickelt und weiter betrieben werden. Änderungen in der Gesetzgebung, welche im Zusammenhang mit dem Infektionsschutz stehen, sollen im Rahmen des Projektes in IfSG-Online umgesetzt werden. Eine Vollautomatisierung von einzelnen Antragsprozessen soll umgesetzt werden.;false;false;true;false;false;true;false;true
Digitales Gesundheitsamt Landkreis Oldenburg;Modellprojekt (MP);Niedersachsen;Wildeshausen;01.10.2022;30.09.2024;480.100,00;NI-P512MP10115;Gesundheitsamt Landkreis Oldenburg;;;;false;true;false;false;true;false;false;false
Digitales Gesundheitsamt;Modellprojekt (MP);Niedersachsen;Wilhelmshaven;01.10.2022;30.09.2024;246.753,00;NI-P512MP10114;Gesundheitsamt Wilhelmshaven;;Octoware;;true;true;false;false;false;false;false;false
Digitales Gesundheitsamt Landkreis Hameln-Pyrmont;Modellprojekt (MP);Niedersachsen;Hameln;01.10.2022;30.09.2024;479.957,00;NI-P512MP10112;Gesundheitsamt Landkreis Hameln-Pyrmont;Schuleingangsuntersuchung;PICTURE, RPA, enaio/mikado/mikropro;;false;false;true;false;true;false;false;false
Digitales Gesundheitsamt Landkreis Vechta;Modellprojekt (MP);Niedersachsen;Vechta;01.10.2022;30.09.2024;564.088,00;NI-P512MP10149;Gesundheitsamt des Landkreises Vechta;Schuleingangsuntersuchung;DEMIS, ISGA, PICTURE;;false;false;true;false;false;false;true;false
Digitale Akte Gesundheitsamt- Lüchow-Dannenberg;Modellprojekt (MP);Niedersachsen;Lüchow (Wendland);01.10.2022;30.09.2024;81.674,30;NI-P512MP10044;Landkreis Lüchow-Dannenberg;;;;false;false;true;false;false;false;false;true
Digitalisierung Gesundheitsamt, Landkreis Gifhorn;Modellprojekt (MP);Niedersachsen;Gifhorn;01.10.2022;30.09.2024;542.389,68;NI-P512MP10146;Landkreis Gifhorn, Fachbereich Gesundheit;;Sormas;;false;false;true;true;false;false;false;false
Digitalisierung des Gesundheitsamtes Landkreis Wolfenbüttel;Modellprojekt (MP);Niedersachsen;Wolfenbüttel;01.10.2022;30.09.2024;524.800,00;NI-P512MP10231;Landkreis Wolfenbüttel (Gesundheitsamt);;enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Ausbau der Hard- und Software im Gesundheitsamt Cuxhaven zur Steuerung und Eindämmung von Infektionserkrankungen und epidemiologischen Lagen;Modellprojekt (MP);Niedersachsen;Cuxhaven;01.10.2022;30.09.2024;480.500,00;NI-P512MP10195;Landkreis Cuxhaven;;;;false;false;false;false;true;false;false;true
Digitales Gesundheitsamt 2025 in den Hamburger Einrichtungen des ÖGD;Ländermaßnahme (LM);Hamburg;Hamburg;01.10.2022;30.09.2024;8.240.100,00;HH-P512LM10007;Behörde für Arbeit, Gesundheit, Soziales, Familie und Integration (Sozialbehörde) Hamburg - Amt für Gesundheit;;Survnet;In einem ersten Schritt dieses Projektes erfolgt eine Bedarfs- und Anforderungsanalyse bestehender Prozesse und Strukturen für die aktuell eingesetzten Systeme und Fachanwendungen in den Hamburger Einrichtungen des ÖGD. Für den Bereich des Infektionsschutzes ist konkret die Einführung der Software SurvNet@RKI vorgesehen. Zudem ist eine Untersuchung zur Ausrichtung und organisatorischen Anbindung der sogenannten Fachlichen Leitstellen angedacht. Nach Abschluss der Analysen ist eine Umsetzung Identifikation und Umsetzung von Maßnahmen zur Weiterentwicklung und Modernisierung für alle Fachdienste in den Einrichtungen des ÖGD, insbesondere im Bereich Infektionsschutz, vorgesehen. Begleitend findet eine Konzeption zu Schulungs- und Weiterbildungsbedarfen sowie Akzeptanz- und Transformationsmanagement statt.;false;true;true;false;false;true;true;true
Digitales Gesundheitsamt für die Bürgerinnen und Bürger der Region Hannover;Modellprojekt (MP);Niedersachsen;Hannover;01.10.2022;30.09.2024;2.508.814,00;NI-P512MP10122;Fachbereich Gesundheit der Region Hannover;Schuleingangsuntersuchung;;;false;false;false;false;true;true;false;false
Modernisierung und Digitalisierung des Öffentlichen Gesundheitsdienstes im Land Brandenburg;Ländermaßnahme (LM);Brandenburg;Potsdam;01.10.2022;30.09.2024;11.380.213,22;BB-P512LM10006;Ministerium für Soziales, Gesundheit, Integration und Verbraucherschutz des Landes Brandenburg;;ISGA;In einem zweistufigen Prozess wird zunächst eine Digitalisierungsstrategie formuliert. Im Zuge dessen soll der Status Quo erfasst und eine gemeinsame Zielstellung erarbeitet werden. Konkrete Maßnahmen werden abgeleitet, die in der zweiten Projektphase umgesetzt werden sollen. Dabei werden von Beginn an die Erfordernisse und Erkenntnisse zur Umsetzung des Infektionsschutzgesetzes, Interoperabilitätskriterien sowie IT-Sicherheit und Datenschutzanforderungen mitgedacht. Ziel ist es die digitale Reife des ÖGD in allen acht Dimensionen zu steigern. Anschließend wird die erarbeitete Digitalisierungsstrategie auf die kommunale und Landesebene transferiert und das Digitalisierungsbudget entsprechend zugewiesen und priorisiert.;true;true;true;false;true;true;true;true
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Landau;01.10.2022;30.09.2024;486.519,82;RP-P512MP10059;Landkreis Südliche Weinstraße;Impfungen, Schuleingangsuntersuchung;DEMIS, RPA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitalisierung im Gesundheitsamt Kaiserslautern;Modellprojekt (MP);Rheinland-Pfalz;Kaiserslautern;01.10.2022;30.09.2024;157.667,41;RP-P512MP10211;Landkreis Kaiserslautern, Abteilung Gesundheitsamt;Belehrung;Survnet, RPA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Kirchheimbolanden;01.10.2022;30.09.2024;335.673,72;RP-P512MP10145;Kreisverwaltung Donnersbergkreis, Ref. 21 - Gesundheitsamt;Belehrung;RPA, enaio/mikado/mikropro;;false;true;false;false;false;true;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Dürkheim;01.10.2022;30.09.2024;324.374,62;RP-P512MP10088;Landkreis Bad Dürkheim;Belehrung;enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Kusel;01.10.2022;30.09.2024;372.490,19;RP-P512MP10094;Kreisverwaltung Kusel;;DEMIS, RPA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Simmern;01.10.2022;30.09.2024;380.545,80;RP-P512MP10098;Landkreis Rhein-Hunsrück-Kreis;;DEMIS, RPA, enaio/mikado/mikropro;;true;true;false;false;false;true;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Cochem;01.10.2022;30.09.2024;401.344,33;RP-P512MP10068;Landkreis Cochem Zell, Fachbereich Gesundheit;Belehrung;DEMIS, RPA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitale Sprechstunden;Modellprojekt (MP);Rheinland-Pfalz;Pirmasens;01.10.2022;30.09.2024;365.145,81;RP-P512MP10067;Kreisverwaltung Südwestpfalz;;RPA, enaio/mikado/mikropro;;false;false;true;true;false;false;false;false
Digitalisierung im Gesundheitsamt des Westerwaldkreises durch Steigerung der Digitalen Reife frühzeitige Intervention in infektionshygienischen Bereichen Digitale Sprechstunden (Kooperationsprojekt);Modellprojekt (MP);Rheinland-Pfalz;Montabaur;01.10.2022;30.09.2024;487.255,42;RP-P512MP10062;Kreisverwaltung des Westerwaldkreises;Impfungen;Survnet, enaio/mikado/mikropro;;true;false;false;false;true;false;false;false
